module_code,academic_year,dept_slug,dept_name,stage,credits_raw,term_raw,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning,origin_date,last_revision_date,fetch_ok
MBAM905,2019/0,management,Management,Masters Modules,10.0,1,Economics for Managers,10,35,28,72,0,100,0,0,2,7,No,22/09/2014,07/11/2018,True
MBAM906,2019/0,management,Management,Masters Modules,10.0,1,Managing Strategic Resources and Operations,10,50,28,72,0,100,0,0,1,7,No,16/09/2014,18/02/2019,True
MBAM907,2019/0,management,Management,Masters Modules,10.0,1,Strategy,10,50,35,65,0,100,0,0,2,7,No,22/09/2014,08/09/2017,True
MBAM909,2019/0,management,Management,Masters Modules,10.0,2,Strategic and Responsible Innovation,10,50,28,72,0,100,0,0,2,7,No,24/11/2014,07/11/2018,True
MBAM912,2019/0,management,Management,Masters Modules,10.0,2,The Entrepreneurial Mindset,10,35,28,72,0,100,0,0,2,7,No,21/04/2015,14/10/2016,True
MBAM915,2019/0,management,Management,Masters Modules,10.0,2,The Entrepreneurial and Intrapreneurial Process: Starting Successful New Ventures,10,20,35,65,0,100,0,0,2,7,No,21/04/2015,24/06/2016,True
MBAM934,2019/0,management,Management,Masters Modules,10.0,3,Sustainable Finance,10,20,28,72,0,100,0,0,2,5,No,25/11/2014,11/05/2015,True
MBAM938,2019/0,management,Management,Masters Modules,10.0,2,Leading in the 4th Industrial Revolution,10,50,28,72,0,100,0,0,3,7,No,06/12/2016,02/11/2018,True
MBAM941,2019/0,management,Management,Masters Modules,10.0,2,Igniting Change in Business,10,50,28,72,0,100,0,0,1,7,No,03/08/2016,08/11/2018,True
MBAM942,2019/0,management,Management,Masters Modules,10.0,3,Leading Resilient Organisations,10,,28,72,0,100,0,0,1,7,No,21/02/2017,,True
MBAM946,2019/0,management,Management,Masters Modules,10.0,1,Marketing,10,,32,68,0,100,0,0,2,7,No,03/08/2017,09/11/2018,True
MBAM948,2019/0,management,Management,Masters Modules,10.0,1 and 2,Leadership,10,50,28,72,0,100,0,0,1,7,No,21/03/2018,17/09/2018,True
MBAM949,2019/0,management,Management,Masters Modules,5.0,,Personal Transformations,5,,50,0,0,100,0,0,2,7,No,02/08/2018,07/11/2018,True
MBAM950,2019/0,management,Management,Masters Modules,10.0,2,Circular Economy Corporate Challenge,10,50,24,76,0,100,0,0,3,7,No,12/06/2018,01/11/2018,True
MBAM951,2019/0,management,Management,Masters Modules,5.0,2,Negotiation,5,30,14,36,0,100,0,0,1,7,No,29/03/2018,17/09/2018,True
MBAM954,2019/0,management,Management,Masters Modules,10.0,1,Tackling Global Challenges and Developing an Ethical Perspective,10,50,28,72,0,100,0,0,1,7,No,5/07/2016,02/11/2018,True
MBAM955,2019/0,management,Management,Masters Modules,10.0,3,Behavioural Economics in Practice,10,15,30,70,,100,0,0,1,7,No,04/12/2019,04/12/2019,True
MBAM956,2019/0,management,Management,Masters Modules,10.0,3,Responsible Business in Context,10,15,38,62,,100,0,0,2,7,No,04/12/2019,04/12/2019,True
ECM1102,2019/0,engineering,Engineering,,30.0,1,,,,,,,,,,,,,,,True
ECM1106,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM1107,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM1108,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM1110,2019/0,engineering,Engineering,,30.0,1 and 2,,,,,,,,,,,,,,,True
ECM1111,2019/0,engineering,Engineering,,15.0,1 and 2,,,,,,,,,,,,,,,True
ECM2102,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2103,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2105,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2106,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2108,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2109,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2110,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2111,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2112,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2113,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2114,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2115,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2117,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2118,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2119,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM2120,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM2121,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3130,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3149,2019/0,engineering,Engineering,,45.0,"1, 2 and 3",,,,,,,,,,,,,,,True
ECM3150,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3151,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3152,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3153,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3154,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3155,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3156,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3157,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3158,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3159,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3160,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3161,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3162,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3163,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3164,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3165,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3166,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3171,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3172,2019/0,engineering,Engineering,,60.0,2 and 3,,,,,,,,,,,,,,,True
ECM3173,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3174,2019/0,engineering,Engineering,,120.0,1,,,,,,,,,,,,,,,True
ECM3175,2019/0,engineering,Engineering,,30.0,"1, 2 and 3",,,,,,,,,,,,,,,True
ENGM026,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM102,2019/0,engineering,Engineering,,60.0,"1, 2 and 3",,,,,,,,,,,,,,,True
ECMM103,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM107,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM108,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
