dept_code,faculty,nss_subject,academic_year,nss_year,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items,subject_code,nss_academic_support,nss_assessment_feedback,nss_free_expression,nss_learning_opps,nss_learning_resources,nss_organisation,nss_student_voice,nss_teaching
ANT,HASS,"Sociology, social policy and anthropology",2019/0,2020,19.0,85.5,14.5,0.0,30.8,25.1,0.1637874720357942,1.35,1.7,,,,,,,,,
ANT,HASS,"Sociology, social policy and anthropology",2020/1,2021,24.0,84.4,11.6,4.0,28.32,28.72,0.1886299776286353,1.36,1.76,,,,,,,,,
ANT,HASS,"Sociology, social policy and anthropology",2021/2,2022,26.0,90.0,6.296296296296297,3.703703703703704,28.444444444444443,28.22222222222222,0.1855215842240451,1.1851851851851851,1.851851851851852,,,,,,,,,
ANT,HASS,"Sociology, social policy and anthropology",2022/3,2023,34.0,92.85714285714286,1.4285714285714286,5.714285714285714,29.485714285714284,25.88571428571429,0.1704761904761904,1.1428571428571428,1.8285714285714283,CAH15-01,75.06666666666666,72.014489571899,60.0,77.725,88.63121387283236,80.87565055762083,62.3592664092664,84.975
ANT,HASS,"Sociology, social policy and anthropology",2024/5,2025,38.0,95.71428571428572,1.9047619047619049,2.380952380952381,34.095238095238095,28.904761904761905,0.1682539682539682,1.0952380952380951,1.9047619047619049,CAH15-01,79.44576271186439,76.07633587786259,72.7,84.825,93.01444201312913,87.96520787746171,66.74799107142857,90.77559429477022
ARC,HASS,History and archaeology,2019/0,2020,25.0,77.66666666666667,12.0,10.333333333333334,27.89655172413793,32.3,0.1609545115585384,1.4666666666666666,2.066666666666667,,,,,,,,,
ARC,HASS,History and archaeology,2020/1,2021,32.0,76.92307692307692,16.41025641025641,6.666666666666667,24.57894736842105,29.07692307692308,0.1516050020076866,1.4615384615384617,2.051282051282051,,,,,,,,,
ARC,HASS,History and archaeology,2021/2,2022,35.0,73.75,17.75,8.5,25.86111111111111,29.85,0.1585246085011185,1.5,2.05,,,,,,,,,
ARC,HASS,History and archaeology,2022/3,2023,33.0,80.75,12.75,6.5,24.205128205128204,29.45,0.1551482102908277,1.375,2.05,CAH20-01,83.54222445898338,78.96127864897467,66.6,79.4928679245283,88.57272727272728,81.72689938398358,66.39554039874082,91.175
ARC,HASS,History and archaeology,2023/4,2024,38.0,79.33333333333333,10.666666666666666,10.0,24.476190476190474,27.511111111111116,0.1467626149639572,1.4222222222222225,2.0444444444444443,CAH20-01,83.05464316423044,75.31195455719082,72.3,79.50708762886597,88.23511852502195,80.78681898066783,65.27319587628865,90.075
ARC,HASS,History and archaeology,2024/5,2025,36.0,79.06976744186046,11.627906976744184,9.30232558139535,25.904761904761905,27.72093023255814,0.1433333333333333,1.372093023255814,1.976744186046512,CAH20-01,84.59446437724243,73.74837423312884,79.2,82.27498084291189,88.35627615062762,84.59610935856992,65.22666311868015,91.87464572960552
