module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name
BEM1015,Marketing and Society,15,2,Stage One Modules,management,2021/2,Management
BEM1019,Fundamentals of Marketing,15,1,Stage One Modules,management,2021/2,Management
BEM1021,Leadership and Teams,15,1,Stage One Modules,management,2021/2,Management
BEM1022,Introduction to Leadership Studies,15,2,Stage One Modules,management,2021/2,Management
BEM1023,Discovering Management,30,1 and 2,Stage One Modules,management,2021/2,Management
BEM1024,Statistics for Business,15,2,Stage One Modules,management,2021/2,Management
BEM1025,Programming for Business Analytics,15,2,Stage One Modules,management,2021/2,Management
BEM1027,The International Business Context,15,1,Stage One Modules,management,2021/2,Management
BEM1028,Introduction to Business and Management,15,1,Stage One Modules,management,2021/2,Management
BEP1010,Business and Society,15,1,Stage One Modules,management,2021/2,Management
BEP1020,Business Practice and Analysis,15,1 and 2,Stage One Modules,management,2021/2,Management
BEP1030,Operations Management: A Sustainable Perspective,15,2,Stage One Modules,management,2021/2,Management
BEP1040,Marketing in a Digital Age,15,2,Stage One Modules,management,2021/2,Management
BEP1070,Accounting,15,2,Stage One Modules,management,2021/2,Management
BEP1080,Theory and Practice of Management,15,,Stage One Modules,management,2021/2,Management
BEP1100,Understanding Work and Organisations,15,1,Stage One Modules,management,2021/2,Management
BEP1120,Introduction to Economics,15,1,Stage One Modules,management,2021/2,Management
BEP1130,Introduction to 'With Industrial Experience',,2 and 3,Stage One Modules,management,2021/2,Management
BEP1140,Preparation for WYA With Year Abroad,,"1, 2 and 3",Stage One Modules,management,2021/2,Management
BUS1908,Preparation for WYA With Year Abroad,,"1, 2 and 3",Stage One Modules,management,2021/2,Management
BEM2007,Operations Management,15,1,Stage Two Modules,management,2021/2,Management
BEM2011DA,Operational and Organisational Strategy,30,1,Stage Two Modules,management,2021/2,Management
BEM2012DA,Project Management and Decision Making,30,3,Stage Two Modules,management,2021/2,Management
BEM2013DA,"Sales, Marketing and Communication",30,1,Stage Two Modules,management,2021/2,Management
BEM2014DA,Leading and Managing People,30,1,Stage Two Modules,management,2021/2,Management
BEM2016,Consumer Behaviour,15,2,Stage Two Modules,management,2021/2,Management
BEM2021,Human Resource Management,15,2,Stage Two Modules,management,2021/2,Management
BEM2025,Marketing Communications: Strategies and Applications,15,1,Stage Two Modules,management,2021/2,Management
BEM2027,Information Systems,15,1,Stage Two Modules,management,2021/2,Management
BEM2031,Introduction to Business Analytics,15,2,Stage Two Modules,management,2021/2,Management
BEM2033,Brands and Branding,15,2,Stage Two Modules,management,2021/2,Management
