module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name,dept_code
MBAM905,Economics for Managers,10,1,Masters Modules,management,2019/0,Management,MBA
MBAM906,Managing Strategic Resources and Operations,10,1,Masters Modules,management,2019/0,Management,MBA
MBAM907,Strategy,10,1,Masters Modules,management,2019/0,Management,MBA
MBAM909,Strategic and Responsible Innovation,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM912,The Entrepreneurial Mindset,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM915,The Entrepreneurial and Intrapreneurial Process: Starting Successful New Ventures,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM934,Sustainable Finance,10,3,Masters Modules,management,2019/0,Management,MBA
MBAM938,Leading in the 4th Industrial Revolution,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM941,Igniting Change in Business,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM942,Leading Resilient Organisations,10,3,Masters Modules,management,2019/0,Management,MBA
MBAM946,Marketing,10,1,Masters Modules,management,2019/0,Management,MBA
MBAM948,Leadership,10,1 and 2,Masters Modules,management,2019/0,Management,MBA
MBAM949,Personal Transformations,5,,Masters Modules,management,2019/0,Management,MBA
MBAM950,Circular Economy Corporate Challenge,10,2,Masters Modules,management,2019/0,Management,MBA
MBAM951,Negotiation,5,2,Masters Modules,management,2019/0,Management,MBA
MBAM954,Tackling Global Challenges and Developing an Ethical Perspective,10,1,Masters Modules,management,2019/0,Management,MBA
MBAM955,Behavioural Economics in Practice,10,3,Masters Modules,management,2019/0,Management,MBA
MBAM956,Responsible Business in Context,10,3,Masters Modules,management,2019/0,Management,MBA
ECM1102,Core Engineering 1,30,1,,engineering,2019/0,Engineering,ECM
ECM1106,Electronics for Engineers: Core Engineering 2,15,2,,engineering,2019/0,Engineering,ECM
ECM1107,Materials and Manufacturing: Core Engineering 2,15,2,,engineering,2019/0,Engineering,ECM
ECM1108,Engineering Mechanics: Core Engineering 2,15,2,,engineering,2019/0,Engineering,ECM
ECM1110,Engineering Mathematics,30,1 and 2,,engineering,2019/0,Engineering,ECM
ECM1111,Entrepreneurship Skills Development 1,15,1 and 2,,engineering,2019/0,Engineering,ECM
ECM2102,Management and Management Science,15,1,,engineering,2019/0,Engineering,ECM
ECM2103,Introduction to Mechanical Engineering Design,15,2,,engineering,2019/0,Engineering,ECM
ECM2105,Control Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECM2106,Manufacturing Systems,15,2,,engineering,2019/0,Engineering,ECM
ECM2108,Construction Methods and Materials,15,2,,engineering,2019/0,Engineering,ECM
ECM2109,Structures,15,2,,engineering,2019/0,Engineering,ECM
ECM2110,Geotechnics 1,15,2,,engineering,2019/0,Engineering,ECM
ECM2111,Mathematical Modelling of Engineering Systems,15,1,,engineering,2019/0,Engineering,ECM
ECM2112,Professional Studies and Skills Development 2,15,1,,engineering,2019/0,Engineering,ECM
ECM2113,Thermofluid Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECM2114,Solid Mechanics,15,1,,engineering,2019/0,Engineering,ECM
ECM2115,"PICS, Microcontrollers and Microprocessors",15,2,,engineering,2019/0,Engineering,ECM
ECM2117,Communication and Networking Technologies,15,2,,engineering,2019/0,Engineering,ECM
ECM2118,Analogue and Digital Electronics Design,15,1,,engineering,2019/0,Engineering,ECM
ECM2119,Mathematical Modelling and Control Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECM2120,Materials Engineering,15,2,,engineering,2019/0,Engineering,ECM
ECM2121,Entrepreneurship 2,15,1,,engineering,2019/0,Engineering,ECM
ECM3130,Engineering in Society and Company Finance,15,2,,engineering,2019/0,Engineering,ECM
ECM3149,Commercial and Industrial Experience and Individual Project (BEng/MEng),45,"1, 2 and 3",,engineering,2019/0,Engineering,ECM
ECM3150,Electromagnetics and Wave Propagation,15,1,,engineering,2019/0,Engineering,ECM
ECM3151,Thermofluids and Energy Conversion,15,1,,engineering,2019/0,Engineering,ECM
ECM3152,Computational Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECM3153,Management of Product Development,15,1,,engineering,2019/0,Engineering,ECM
ECM3154,Manufacturing,15,1,,engineering,2019/0,Engineering,ECM
ECM3155,Structural Engineering,15,1,,engineering,2019/0,Engineering,ECM
ECM3156,Civil Engineering Hydraulics,15,1,,engineering,2019/0,Engineering,ECM
ECM3157,Geotechnics 2,15,1,,engineering,2019/0,Engineering,ECM
ECM3158,Water Resources and Pollution Control,15,1,,engineering,2019/0,Engineering,ECM
ECM3159,Management of Processes and People,15,1,,engineering,2019/0,Engineering,ECM
ECM3160,Materials,15,1,,engineering,2019/0,Engineering,ECM
ECM3161,Civil Engineering Design Studies,15,2,,engineering,2019/0,Engineering,ECM
ECM3162,Electronic Engineering Design Studies,15,2,,engineering,2019/0,Engineering,ECM
ECM3163,Mechanical Engineering Design Studies,15,2,,engineering,2019/0,Engineering,ECM
ECM3164,Operations Management,15,1,,engineering,2019/0,Engineering,ECM
