module_code,academic_year,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning
ECM1102,2019/0,Core Engineering 1,30,195.0,130,170.0,0.0,24,70,6.0,7.0,4,No
ECM1106,2019/0,Electronics for Engineers: Core Engineering 2,15,206.0,34,116.0,0.0,10,60,30.0,3.0,1,No
ECM1107,2019/0,Materials and Manufacturing: Core Engineering 2,15,171.0,28,122.0,0.0,30,70,0.0,3.0,1,No
ECM1108,2019/0,Engineering Mechanics: Core Engineering 2,15,173.0,40,110.0,0.0,30,70,0.0,5.0,1,No
ECM1110,2019/0,Engineering Mathematics,30,195.0,100,200.0,0.0,20,80,0.0,3.0,4,No
ECM1111,2019/0,Entrepreneurship Skills Development 1,15,225.0,45,105.0,0.0,100,0,0.0,9.0,4,No
ECM2102,2019/0,Management and Management Science,15,175.0,34,116.0,0.0,40,60,,3.0,5,No
ECM2103,2019/0,Introduction to Mechanical Engineering Design,15,114.0,34,116.0,0.0,100,0,,3.0,5,No
ECM2105,2019/0,Control Engineering,15,182.0,44,106.0,0.0,30,70,,4.0,2,No
ECM2106,2019/0,Manufacturing Systems,15,17.0,22,138.0,0.0,30,70,,3.0,5,No
ECM2108,2019/0,Construction Methods and Materials,15,46.0,45,105.0,0.0,100,0,0.0,5.0,2,No
ECM2109,2019/0,Structures,15,145.0,45,105.0,0.0,15,85,0.0,2.0,2,No
ECM2110,2019/0,Geotechnics 1,15,49.0,66,84.0,,50,50,,2.0,2,No
ECM2111,2019/0,Mathematical Modelling of Engineering Systems,15,226.0,81,69.0,0.0,15,85,,2.0,5,No
ECM2112,2019/0,Professional Studies and Skills Development 2,15,190.0,55,95.0,0.0,100,0,0.0,5.0,5,No
ECM2113,2019/0,Thermofluid Engineering,15,213.0,46,104.0,,40,60,,3.0,2,No
ECM2114,2019/0,Solid Mechanics,15,209.0,36,114.0,0.0,30,70,,2.0,2,No
ECM2115,2019/0,"PICS, Microcontrollers and Microprocessors",15,33.0,51,99.0,0.0,40,60,,4.0,5,No
ECM2117,2019/0,Communication and Networking Technologies,15,20.0,30,120.0,0.0,40,60,,4.0,2,No
ECM2118,2019/0,Analogue and Digital Electronics Design,15,36.0,49,101.0,0.0,40,60,,5.0,5,No
ECM2119,2019/0,Mathematical Modelling and Control Engineering,15,15.0,57,93.0,0.0,15,85,,2.0,2,No
ECM2120,2019/0,Materials Engineering,15,7.0,28,122.0,0.0,30,70,,3.0,2,No
ECM2121,2019/0,Entrepreneurship 2,15,50.0,55,95.0,0.0,100,0,0.0,8.0,5,No
ECM3130,2019/0,Engineering in Society and Company Finance,15,183.0,78,72.0,0.0,30,70,,2.0,3,No
ECM3149,2019/0,Commercial and Industrial Experience and Individual Project (BEng/MEng),45,7.0,27,123.0,300.0,100,0,0.0,,6,No
ECM3150,2019/0,Electromagnetics and Wave Propagation,15,16.0,25,125.0,,30,70,,4.0,6,No
ECM3151,2019/0,Thermofluids and Energy Conversion,15,113.0,43,107.0,0.0,30,70,,2.0,6,No
ECM3152,2019/0,Computational Engineering,15,79.0,31,119.0,29.0,100,0,,3.0,3,No
ECM3153,2019/0,Management of Product Development,15,82.0,22,128.0,0.0,40,60,,3.0,3,No
ECM3154,2019/0,Manufacturing,15,28.0,25,125.0,0.0,30,70,,3.0,3,No
ECM3155,2019/0,Structural Engineering,15,39.0,37,113.0,0.0,35,65,0.0,3.0,6,No
ECM3156,2019/0,Civil Engineering Hydraulics,15,37.0,39,111.0,0.0,30,70,,2.0,3,No
ECM3157,2019/0,Geotechnics 2,15,39.0,101,49.0,0.0,15,50,35.0,3.0,3,No
ECM3158,2019/0,Water Resources and Pollution Control,15,28.0,48,102.0,0.0,30,70,,3.0,3,No
ECM3159,2019/0,Management of Processes and People,15,26.0,24,126.0,0.0,40,60,,3.0,6,No
ECM3160,2019/0,Materials,15,49.0,84,66.0,0.0,40,60,,4.0,3,No
ECM3161,2019/0,Civil Engineering Design Studies,15,34.0,47,103.0,0.0,100,0,,3.0,3,No
ECM3162,2019/0,Electronic Engineering Design Studies,15,19.0,98,52.0,0.0,100,0,,6.0,6,No
ECM3163,2019/0,Mechanical Engineering Design Studies,15,86.0,65,85.0,0.0,70,0,30.0,3.0,3,No
ECM3164,2019/0,Operations Management,15,39.0,22,128.0,0.0,30,70,,2.0,6,No
ECM3165,2019/0,Digital Signal Processing,15,19.0,45,105.0,0.0,40,60,0.0,5.0,3,No
ECM3166,2019/0,Communications Engineering,15,17.0,50,100.0,0.0,20,60,20.0,4.0,3,No
ECM3171,2019/0,Computer Aided Engineering Drawing,15,101.0,27,123.0,0.0,100,0,0.0,4.0,6,No
ECM3172,2019/0,Study Abroad Semester,60,10.0,0,0.0,600.0,100,0,0.0,2.0,6,No
ECM3173,2019/0,Structural Dynamics,15,80.0,40,110.0,,25,75,,2.0,6,No
ECM3174,2019/0,Year in Industry,120,4.0,6,,,80,0,20.0,2.0,6,No
ECM3175,2019/0,Individual Project,30,106.0,27,274.0,0.0,100,0,0.0,2.0,6,No
ENGM026,2019/0,"Design, Innovation & Entrepreneurship",15,,22,128.0,,100,0,0.0,1.0,7,No
ECMM102,2019/0,Group Project (MEng),60,75.0,0,600.0,,100,0,,2.0,7,No
ECMM103,2019/0,Computer Aided Engineering Design,15,37.0,28,122.0,0.0,100,0,,4.0,7,No
ECMM107,2019/0,Mechanics of Materials,15.0,0.0,28.0,122.0,,30.0,70.0,,2.0,7.0,No
ECMM108,2019/0,Advanced Structural Engineering,15.0,0.0,22.0,128.0,,50.0,50.0,0.0,3.0,7.0,No
ECMM109,2019/0,Advanced Geotechnical Engineering,15.0,0.0,22.0,128.0,0.0,50.0,50.0,0.0,3.0,7.0,No
ECMM110,2019/0,Water and Environmental Systems,15.0,0.0,22.0,128.0,,65.0,0.0,35.0,3.0,7.0,No
ECMM112,2019/0,Manufacturing Supply Chain Management,15.0,30.0,22.0,128.0,0.0,100.0,0.0,0.0,2.0,7.0,No
ECMM113,2019/0,"Agile, Lean and Competitive Enterprise",15.0,60.0,44.0,106.0,,100.0,0.0,0.0,2.0,7.0,No
ECMM124,2019/0,Hydroinformatics Tools,15.0,0.0,40.0,110.0,,30.0,70.0,,2.0,7.0,No
ECMM127,2019/0,Advanced Materials Engineering,15.0,0.0,22.0,128.0,,30.0,70.0,,3.0,7.0,No
ECMM128,2019/0,Management Concepts,15.0,0.0,22.0,128.0,,0.0,100.0,0.0,1.0,7.0,No
ECMM132,2019/0,Urban Drainage and Waste Water Management,15.0,0.0,44.0,106.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM133,2019/0,Water Supply and Distribution Management,15.0,0.0,36.0,114.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM134,2019/0,Environmental Processes,15.0,0.0,34.0,116.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM136,2019/0,Systems Analysis in Engineering,15.0,0.0,22.0,128.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM140,2019/0,Vibration Engineering,15.0,0.0,33.0,117.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM141,2019/0,Multivariable State-Space Control,15.0,0.0,27.0,123.0,0.0,20.0,80.0,0.0,2.0,7.0,No
ECMM142,2019/0,Contemporary Advanced Materials Research,15.0,0.0,22.0,128.0,0.0,80.0,0.0,20.0,5.0,7.0,No
ECMM144,2019/0,Environmental and Computational Hydraulics,15.0,0.0,36.0,114.0,0.0,100.0,0.0,0.0,3.0,7.0,No
ECMM145,2019/0,Computational Hydrology,15.0,20.0,36.0,114.0,0.0,100.0,0.0,0.0,2.0,7.0,No
ECMM146,2019/0,Mathematical Modelling of Waste Water Treatment Processes,15.0,19.0,36.0,114.0,0.0,100.0,0.0,0.0,3.0,7.0,No
ECMM147,2019/0,Mechatronics: Sensors and Machine Automation,15.0,47.0,33.0,117.0,0.0,25.0,70.0,5.0,3.0,7.0,No
ECMM148,2019/0,Advanced CFD,15.0,0.0,26.0,124.0,0.0,100.0,0.0,0.0,4.0,7.0,No
ECMM149,2019/0,Linear Systems and Structural Analysis,15.0,0.0,33.0,117.0,0.0,30.0,70.0,0.0,3.0,7.0,No
ECMM150,2019/0,Structural Design,15.0,0.0,37.0,113.0,0.0,30.0,70.0,0.0,3.0,7.0,No
ECMM151,2019/0,Introduction to Earthquake Engineering,15.0,0.0,50.0,100.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM153,2019/0,Conceptual Design of Buildings,15.0,0.0,40.0,110.0,0.0,30.0,70.0,0.0,2.0,7.0,No
ECMM158,2019/0,Active and Passive Structural Control,15.0,0.0,40.0,110.0,0.0,30.0,70.0,,2.0,7.0,No
ECMM159,2019/0,Structural Health and Performance Monitoring,15.0,0.0,44.0,106.0,0.0,60.0,40.0,0.0,2.0,7.0,No
ECMM160,2019/0,Engineering Materials and the Environment,15.0,0.0,22.0,128.0,0.0,40.0,60.0,0.0,4.0,7.0,No
ECMM162,2019/0,Water Management in Developing Countries,15.0,0.0,30.0,115.0,0.0,0.0,100.0,0.0,1.0,7.0,No
ECMM163,2019/0,Sustainable Engineering,15.0,62.0,40.0,110.0,0.0,100.0,0.0,0.0,2.0,7.0,No
ECMM164,2019/0,MSc Dissertation,60.0,150.0,22.0,578.0,0.0,0.0,90.0,10.0,2.0,7.0,No
ECMM168,2019/0,Project Management,15.0,10.0,44.0,106.0,0.0,50.0,50.0,0.0,3.0,7.0,No
ECMM171,2019/0,Programming for Engineering,15.0,66.0,36.0,114.0,0.0,80.0,0.0,20.0,3.0,7.0,No
ECMM172,2019/0,Management Science,15.0,0.0,44.0,106.0,0.0,50.0,50.0,0.0,2.0,7.0,No
ECMM178,2019/0,Computational Techniques for Engineers,15.0,0.0,26.0,124.0,0.0,0.0,0.0,100.0,2.0,7.0,No
ECMM179,2019/0,Global Sourcing and Logistics Management,15.0,20.0,22.0,128.0,0.0,100.0,0.0,0.0,1.0,7.0,No
EMP3001,2019/0,Commercial and Industrial Experience,15.0,31.0,9.0,61.0,80.0,100.0,0.0,,2.0,6.0,No
