"NSS 2023 results for students taught at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q01: How good are teaching staff at explaining things?,119,160,,29,83,6,1,,0,94.1,89.3,4.8,2.5,3.6,0.2,17.4,82.5,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q02: How often do teaching staff make the subject engaging?,119,160,,25,80,13,1,,0,88.2,81.9,6.4,3.1,3.6,0.2,10.3,89.5,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q03: How often is the course intellectually stimulating?,119,160,,68,41,7,3,,0,91.6,92.5,-0.9,2.4,3.6,25.9,66,8.1,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q04: How often does your course challenge you to achieve your best work?,119,160,,44,48,21,6,,0,77.3,79.9,-2.6,3.5,3.6,51,41.9,7,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,119,160,,47,44,26,2,,0,76.5,78.4,-1.9,3.6,3.6,43.7,45.2,11,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,118,160,,57,51,8,2,,1,91.5,84.4,7.1,2.9,3.6,0,5.3,94.7,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,118,160,,64,37,15,2,,1,85.6,87.3,-1.7,3,3.6,39.1,52.5,8.4,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q08: To what extent does your course have the right balance of directed and independent study?,119,160,,35,46,25,13,,0,68.1,65.6,2.4,4.1,3.6,11.2,39.3,49.5,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,119,160,,64,48,7,0,,0,94.1,89.3,4.8,2.4,3.6,0.1,16,83.9,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q10: How clear were the marking criteria used to assess your work?,119,160,,25,42,37,15,,0,56.3,63.6,-7.3,4.3,3.6,87.1,11.9,1.1,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q11: How fair has the marking and assessment been on your course?,119,160,,14,63,30,12,,0,64.7,73.3,-8.6,4,3.6,93.5,6.2,0.3,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q12: How well have assessments allowed you to demonstrate what you have learned?,118,160,,24,63,26,5,,1,73.7,73.2,0.5,3.9,3.6,22,47.5,30.5,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q13: How often have you received assessment feedback on time?,119,160,,34,53,24,8,,0,73.1,70.3,2.9,3.9,3.6,8.5,37.8,53.6,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q14: How often does feedback help you to improve your work?,119,160,,19,48,39,13,,0,56.3,57.5,-1.2,4.3,3.6,38.1,42.1,19.8,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q15: How easy was it to contact teaching staff when you needed to?,118,160,,44,57,15,2,,1,85.6,81.2,4.4,3.3,3.6,1.7,26.3,71.9,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q16: How well have teaching staff supported your learning?,117,160,,35,68,10,4,,2,88,79.5,8.5,3.2,2.8,0,3.2,96.8,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q17: How well organised is your course?,119,160,,14,53,37,15,,0,56.3,52.3,4,4.3,3.6,6.8,30,63.2,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q18: How well were any changes to teaching on your course communicated?,119,160,,19,52,34,14,,0,59.7,54.8,4.9,4.3,3.6,4.4,24.8,70.8,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q19: How well have the IT resources and facilities supported your learning?,117,160,,35,59,17,6,,2,80.3,79,1.3,3.4,3.7,13,50.5,36.5,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",114,160,,47,50,12,5,,4,85.1,88.3,-3.2,3,3.6,59.8,37.4,2.9,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",116,160,,35,64,16,1,,2,85.3,82,3.3,3.2,3.6,3.3,36.6,60.1,119,74.4
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q22: To what extent do you get the right opportunities to give feedback on your course?,118,160,,51,49,12,6,,0,84.7,82.2,2.6,3.1,3.6,5.3,43.8,50.9,119,74.4
