"NSS 2025 results for students registered at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q01: How good are teaching staff at explaining things?,173,217,,41,119,11,2,0,0,92.5,90.5,2,2,3.6,1.4,58.4,40.2,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q02: How often do teaching staff make the subject engaging?,173,217,,39,115,18,1,0,0,89,82.2,6.8,2.6,3.6,0,4.8,95.2,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q03: How often is the course intellectually stimulating?,173,217,,106,60,5,2,0,0,96,93.6,2.4,1.7,3.6,0.2,53.2,46.5,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q04: How often does your course challenge you to achieve your best work?,173,217,,83,54,32,4,0,0,79.2,84.9,-5.7,2.8,3.7,87.2,12.6,0.2,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Theme 1: Teaching on my course,173,217,,,,,,,,89.2,87.8,1.4,2.4,3.6,5.1,62.8,32.1,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,173,217,,60,78,32,3,0,0,79.8,81,-1.2,2.9,3.7,33.1,57,9.9,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,173,217,,96,67,9,1,0,0,94.2,88.1,6.1,2.1,3.7,0,4.7,95.3,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,173,217,,100,54,18,1,0,0,89,90.3,-1.2,2.3,3.7,28.9,66.2,4.9,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q08: To what extent does your course have the right balance of directed and independent study?,173,217,,57,66,34,16,0,0,71.1,68.5,2.6,3.4,3.6,6.5,42.1,51.4,173,79.7
All modes,All undergraduates,CAH1,CAH01,Medicine and dentistry,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,173,217,,100,62,10,1,0,0,93.6,92.3,1.3,1.9,3.6,2.4,70.9,26.8,173,79.7
